State/UT,Juveniles Apprehended,18 Years & Above - Below 30 Years,30 Years & above - Below 45 Years,45 Years & above - Below 60 Years,60 Years & Above
Andhra Pradesh,140,24930,35476,14651,739
Arunachal Pradesh,4,432,481,38,2
Assam,80,6325,5571,1253,14
Bihar,277,64803,61688,23383,789
Chhattisgarh,312,32954,30692,7738,637
Goa,1,391,466,235,32
Gujarat,268,157616,203303,82667,5668
Haryana,238,21916,17535,5842,783
Himachal Pradesh,19,1489,2250,736,140
Jharkhand,11,8192,9944,1397,47
Karnataka,105,28226,30203,13028,1812
Kerala,132,66553,66665,35173,5694
Madhya Pradesh,570,47076,36869,12269,842
Maharashtra,453,38056,35638,12378,776
Manipur,21,486,871,231,11
Meghalaya,66,335,169,40,8
Mizoram,5,218,389,74,12
Nagaland,1,222,437,113,4
Odisha,7,11376,2448,97,3
Punjab,78,17270,16270,7509,247
Rajasthan,187,40264,36604,10720,578
Sikkim,6,142,117,31,4
Tamil Nadu,525,104764,151514,82202,8431
Telangana,115,7145,5422,1564,114
Tripura,22,716,681,107,5
Uttar Pradesh,358,131348,137171,30765,517
Uttarakhand,27,3668,6256,3578,8
West Bengal,153,9823,13308,4307,196
A&N Islands,19,210,576,342,124
Chandigarh,3,196,456,261,9
D&N Haveli and Daman & Diu,8,81,77,30,7
Delhi,212,13931,11828,3042,217
Jammu & Kashmir,71,3852,3476,817,14
Ladakh,0,28,10,0,0
Lakshadweep,0,6,24,8,0
Puducherry,25,1179,792,344,42
