State/UT,Persons Arrested,Persons Convicted,Persons Discharged,Persons Acquitted
Andhra Pradesh,160471,97452,4817,57178
Arunachal Pradesh,2038,182,282,368
Assam,73473,4638,96,32380
Bihar,196073,17583,255,18721
Chhattisgarh,101737,40006,11119,18334
Goa,2512,452,551,1283
Gujarat,163333,46647,15254,136705
Haryana,91741,12284,21,29159
Himachal Pradesh,9914,1891,99,5866
Jharkhand,43191,5854,648,15401
Karnataka,140541,33656,297,80081
Kerala,230946,184327,5843,34983
Madhya Pradesh,156328,94086,31471,93395
Maharashtra,289019,84789,26760,131238
Manipur,1391,66,14,34
Meghalaya,728,190,230,309
Mizoram,3176,1717,30,63
Nagaland,886,238,89,51
Odisha,50097,3578,0,28916
Punjab,59355,12047,801,17294
Rajasthan,196646,67633,26460,47972
Sikkim,541,85,61,302
Tamil Nadu,350885,74743,16326,74870
Telangana,96153,37883,0,29960
Tripura,2112,1051,0,2508
Uttar Pradesh,466555,160422,7611,43530
Uttarakhand,11523,1216,147,956
West Bengal,143206,8579,492,59537
A&N Islands,552,165,4,197
Chandigarh,2400,1027,6,918
D&N Haveli and Daman & Diu,1107,53,2,1600
Delhi,127141,50197,1687,6611
Jammu & Kashmir,45022,9433,1262,9997
Ladakh,633,365,17,44
Lakshadweep,27,51,0,90
Puducherry,6869,595,35,343
