State/UT,Male,Female,Trans
Andhra Pradesh,73410,2526,0
Arunachal Pradesh,866,91,0
Assam,12958,285,0
Bihar,144108,6832,0
Chhattisgarh,71492,841,0
Goa,1095,30,0
Gujarat,350552,98969,1
Haryana,45450,863,1
Himachal Pradesh,4364,266,4
Jharkhand,18959,632,0
Karnataka,70740,2634,0
Kerala,173629,588,0
Madhya Pradesh,94346,3280,0
Maharashtra,84594,2706,1
Manipur,1453,167,0
Meghalaya,601,17,0
Mizoram,590,108,0
Nagaland,714,63,0
Odisha,13443,488,0
Punjab,38988,2386,0
Rajasthan,87438,915,0
Sikkim,296,4,0
Tamil Nadu,329184,18248,4
Telangana,14121,239,0
Tripura,1438,93,0
Uttar Pradesh,296633,3526,0
Uttarakhand,13441,96,0
West Bengal,27014,773,0
A&N Islands,1118,153,0
Chandigarh,893,32,0
D&N Haveli and Daman & Diu,201,2,0
Delhi,27950,1280,0
Jammu & Kashmir,8068,162,0
Ladakh,36,2,0
Lakshadweep,38,0,0
Puducherry,2329,53,0
