City,2020,2021,2022,Rate of Cognizable Crime,Charge-Sheeting Rate
Ahmedabad (Gujarat),82609,96455,53845,847.7,94.9
Bengaluru (Karnataka),34156,36310,46187,543.4,59.7
Chennai (Tamil Nadu),168450,115247,39138,450.1,37.9
Coimbatore (Tamil Nadu),24044,13963,9250,430,94.3
Delhi City,262443,303293,318555,1952.5,34.1
Ghaziabad (Uttar Pradesh),12575,16495,13207,559.9,60.2
Hyderabad (Telangana),18055,20142,23183,299.2,67.8
Indore (Madhya Pradesh),19852,24025,27127,1251.8,83.3
Jaipur (Rajasthan),25635,31526,36961,1202.8,48.9
Kanpur (Uttar Pradesh),15434,9826,15260,522.6,69.5
Kochi (Kerala),18315,33967,28766,1358.2,98
Kolkata (West Bengal),18277,14591,12213,86.5,89.6
Kozhikode (Kerala),16866,10471,11589,570.6,92.2
Lucknow (Uttar Pradesh),19338,17136,19058,656.9,74.9
Mumbai (Maharashtra),58676,78882,89098,483.9,81.7
Nagpur (Maharashtra),19250,22302,19167,767.3,85.2
Patna (Bihar),14590,17876,21393,1045.1,93.3
Pune (Maharashtra),35847,12969,14173,280.7,84.7
Surat (Gujarat),59604,76797,55300,1206.1,97.1
