State/UT,2020,2021,2022
Andhra Pradesh,238105,222199,195284
Arunachal Pradesh,2503,3039,2761
Assam,121609,133239,68937
Bihar,257512,282083,347835
Chhattisgarh,103173,110633,121065
Goa,4366,2991,3679
Gujarat,699619,731738,524103
Haryana,192395,206431,242849
Himachal Pradesh,20630,18833,19053
Jharkhand,63570,60765,64359
Karnataka,150080,163697,180742
Kerala,554724,524960,454836
Madhya Pradesh,428046,475918,488966
Maharashtra,539003,540800,557012
Manipur,2986,3204,3914
Meghalaya,3744,3428,3625
Mizoram,2289,3196,4133
Nagaland,1511,1478,1592
Odisha,134230,155420,178190
Punjab,82875,73581,73625
Rajasthan,260378,284569,312804
Sikkim,675,728,819
Tamil Nadu,1377681,756753,473456
Telangana,147504,158809,165830
Tripura,4653,4788,4532
Uttar Pradesh,657925,608082,753675
Uttarakhand,57332,34875,34607
West Bengal,182367,181821,180539
A&N Islands,2542,1332,1589
Chandigarh,3254,2995,3658
D&N Haveli and,533,579,1273
Daman & Diu,,,
Delhi,266070,306389,320274
Jammu & Kashmir,28911,31675,30197
Ladakh,403,559,478
Lakshadweep,147,128,97
Puducherry,7940,4595,4558
